id,year,field
OGLE-2011-BLG-0243,2011,blg
OGLE-2011-BLG-0242,2011,blg
OGLE-2011-BLG-0240,2011,blg
OGLE-2011-BLG-0246,2011,blg
OGLE-2011-BLG-0245,2011,blg
OGLE-2011-BLG-0249,2011,blg
OGLE-2011-BLG-0250,2011,blg
OGLE-2011-BLG-0251,2011,blg
OGLE-2011-BLG-0253,2011,blg
OGLE-2011-BLG-0254,2011,blg
OGLE-2011-BLG-0252,2011,blg
OGLE-2011-BLG-0255,2011,blg
OGLE-2011-BLG-0259,2011,blg
OGLE-2011-BLG-0257,2011,blg
OGLE-2011-BLG-0260,2011,blg
OGLE-2011-BLG-0261,2011,blg
OGLE-2011-BLG-0262,2011,blg
OGLE-2011-BLG-0263,2011,blg
OGLE-2011-BLG-0264,2011,blg
OGLE-2011-BLG-0265,2011,blg
OGLE-2011-BLG-0269,2011,blg
OGLE-2011-BLG-0266,2011,blg
OGLE-2011-BLG-0267,2011,blg
OGLE-2011-BLG-0271,2011,blg
OGLE-2011-BLG-0270,2011,blg
OGLE-2011-BLG-0268,2011,blg
OGLE-2011-BLG-0272,2011,blg
OGLE-2011-BLG-0273,2011,blg
OGLE-2011-BLG-0274,2011,blg
OGLE-2011-BLG-0275,2011,blg
OGLE-2011-BLG-0277,2011,blg
OGLE-2011-BLG-0276,2011,blg
OGLE-2011-BLG-0278,2011,blg
OGLE-2011-BLG-0281,2011,blg
OGLE-2011-BLG-0279,2011,blg
OGLE-2011-BLG-0280,2011,blg
OGLE-2011-BLG-0283,2011,blg
OGLE-2011-BLG-0282,2011,blg
OGLE-2011-BLG-0286,2011,blg
OGLE-2011-BLG-0289,2011,blg
OGLE-2011-BLG-0284,2011,blg
OGLE-2011-BLG-0287,2011,blg
OGLE-2011-BLG-0285,2011,blg
OGLE-2011-BLG-0288,2011,blg
OGLE-2011-BLG-0291,2011,blg
OGLE-2011-BLG-0290,2011,blg
OGLE-2011-BLG-0293,2011,blg
OGLE-2011-BLG-0292,2011,blg
OGLE-2011-BLG-0294,2011,blg
OGLE-2011-BLG-0298,2011,blg
OGLE-2011-BLG-0296,2011,blg
OGLE-2011-BLG-0297,2011,blg
OGLE-2011-BLG-0299,2011,blg
OGLE-2011-BLG-0295,2011,blg
OGLE-2011-BLG-0301,2011,blg
OGLE-2011-BLG-0303,2011,blg
OGLE-2011-BLG-0302,2011,blg
OGLE-2011-BLG-0305,2011,blg
OGLE-2011-BLG-0306,2011,blg
OGLE-2011-BLG-0308,2011,blg
OGLE-2011-BLG-0307,2011,blg
OGLE-2011-BLG-0309,2011,blg
OGLE-2011-BLG-0310,2011,blg
OGLE-2011-BLG-0311,2011,blg
OGLE-2011-BLG-0316,2011,blg
OGLE-2011-BLG-0312,2011,blg
OGLE-2011-BLG-0313,2011,blg
OGLE-2011-BLG-0319,2011,blg
OGLE-2011-BLG-0318,2011,blg
OGLE-2011-BLG-0321,2011,blg
OGLE-2011-BLG-0320,2011,blg
OGLE-2011-BLG-0314,2011,blg
OGLE-2011-BLG-0317,2011,blg
OGLE-2011-BLG-0323,2011,blg
OGLE-2011-BLG-0324,2011,blg
OGLE-2011-BLG-0325,2011,blg
OGLE-2011-BLG-0327,2011,blg
OGLE-2011-BLG-0326,2011,blg
OGLE-2011-BLG-0330,2011,blg
OGLE-2011-BLG-0329,2011,blg
OGLE-2011-BLG-0333,2011,blg
OGLE-2011-BLG-0331,2011,blg
OGLE-2011-BLG-0332,2011,blg
OGLE-2011-BLG-0334,2011,blg
OGLE-2011-BLG-0337,2011,blg
OGLE-2011-BLG-0335,2011,blg
OGLE-2011-BLG-0336,2011,blg
OGLE-2011-BLG-0340,2011,blg
OGLE-2011-BLG-0338,2011,blg
OGLE-2011-BLG-0342,2011,blg
OGLE-2011-BLG-0341,2011,blg
OGLE-2011-BLG-0344,2011,blg
OGLE-2011-BLG-0343,2011,blg
OGLE-2011-BLG-0339,2011,blg
OGLE-2011-BLG-0345,2011,blg
OGLE-2011-BLG-0346,2011,blg
OGLE-2011-BLG-0347,2011,blg
OGLE-2011-BLG-0348,2011,blg
OGLE-2011-BLG-0349,2011,blg
OGLE-2011-BLG-0354,2011,blg
OGLE-2011-BLG-0356,2011,blg
OGLE-2011-BLG-0350,2011,blg
OGLE-2011-BLG-0357,2011,blg
OGLE-2011-BLG-0355,2011,blg
OGLE-2011-BLG-0353,2011,blg
OGLE-2011-BLG-0351,2011,blg
OGLE-2011-BLG-0352,2011,blg
OGLE-2011-BLG-0359,2011,blg
OGLE-2011-BLG-0361,2011,blg
OGLE-2011-BLG-0358,2011,blg
OGLE-2011-BLG-0360,2011,blg
OGLE-2011-BLG-0363,2011,blg
OGLE-2011-BLG-0364,2011,blg
OGLE-2011-BLG-0367,2011,blg
OGLE-2011-BLG-0366,2011,blg
OGLE-2011-BLG-0365,2011,blg
OGLE-2011-BLG-0362,2011,blg
OGLE-2011-BLG-0368,2011,blg
OGLE-2011-BLG-0371,2011,blg
OGLE-2011-BLG-0369,2011,blg
OGLE-2011-BLG-0372,2011,blg
OGLE-2011-BLG-0373,2011,blg
OGLE-2011-BLG-0374,2011,blg
OGLE-2011-BLG-0377,2011,blg
OGLE-2011-BLG-0376,2011,blg
OGLE-2011-BLG-0378,2011,blg
OGLE-2011-BLG-0381,2011,blg
OGLE-2011-BLG-0380,2011,blg
